eno,fno,capacite_etablissement,effectif_total,dont_effectif_candidates,total_candidats_phase_principale,neo_generaux_principal,neo_generaux_boursier_principal,neo_technologiques_principal,neo_technologiques_boursiers_principal,neo_professionnels_principal,neo_professionnels_boursiers_principal,autre_candidats_principal,total_candidats_complementaire,neo_generaux_complementaire,neo_technologique_complementaire,neo_professionnels_complementaire,autre_candidats_complementaires,total_candidats_admis,dont_candidates_admises,admis_principal,admis_complementaire,admis_proposition_principale,neo_admis,neo_boursiers_admis,neo_admis_generaux,neo_admis_technologiques,neo_admis_professionnels,admis_autres
0022108F,25133,18,247,152,134,44,10,27,5,27,6,36,113,26,15,23,49,17,11,10,7,7.0,11,4,2,4,5,6
0440355X,5546,34,133,84,116,15,1,19,2,50,6,32,17,1,0,8,8,20,15,18,2,8.0,15,3,2,5,8,5
0130049H,2564,30,437,87,430,55,18,88,34,62,35,225,7,0,0,0,7,23,5,23,0,4.0,12,8,1,6,5,11
0940120V,31295,24,763,320,748,637,78,0,0,1,1,110,15,6,0,0,9,19,7,18,1,0.0,19,1,19,0,0,0
0311262D,4127,32,675,464,675,212,29,191,51,57,21,215,0,0,0,0,0,29,26,29,0,1.0,24,7,9,12,3,5
0711372F,8664,72,547,107,527,401,47,41,11,1,1,84,20,3,3,0,14,42,5,37,5,7.0,35,6,33,2,0,7
0382440W,5110,10,491,207,486,213,42,74,17,45,13,154,5,1,0,0,4,10,7,10,0,4.0,8,4,5,1,2,2
0141904U,15839,20,70,39,64,6,1,8,1,18,3,32,6,1,0,3,2,8,6,3,5,2.0,6,0,2,0,4,2
0870015U,10663,48,321,227,318,276,40,1,0,0,0,41,3,1,0,0,2,38,28,37,1,14.0,37,4,37,0,0,1
0381775Y,5002,26,418,259,418,248,38,77,18,3,1,90,0,0,0,0,0,27,20,27,0,6.0,24,3,17,7,0,3
0131549N,2651,40,728,373,713,93,29,272,99,181,86,167,15,1,6,0,8,32,19,29,2,3.0,27,9,2,10,15,5
9741186W,16185,14,193,17,193,22,12,63,27,74,49,34,0,0,0,0,0,13,0,13,0,4.0,13,8,2,5,6,0
0134017W,20513,50,1138,1039,1138,596,209,76,34,66,38,400,0,0,0,0,0,50,47,50,0,20.0,39,15,31,3,5,11
0480514Y,5810,24,286,99,277,19,3,36,11,47,18,175,9,0,2,3,4,12,3,9,3,3.0,6,2,0,2,4,6
0331683A,4363,27,558,108,551,133,16,138,25,100,16,180,7,0,1,0,6,27,0,24,3,5.0,23,3,8,8,7,4
0932324W,23055,63,4588,4093,4588,441,179,820,398,664,383,2663,0,0,0,0,0,58,49,58,0,0.0,24,10,8,16,0,34
0740047Z,8877,96,562,299,543,0,0,250,27,151,20,142,19,0,4,6,9,71,43,67,4,44.0,43,2,0,25,18,28
0340994W,30183,14,118,48,106,12,1,32,10,12,6,50,12,0,5,3,4,3,1,2,1,1.0,2,0,0,2,0,1
0440984F,18085,5,31,23,23,19,5,0,0,0,0,4,8,2,2,1,3,4,2,4,0,1.0,4,1,4,0,0,0
0490075R,32869,6,52,13,48,23,6,1,0,0,0,24,4,1,0,0,3,4,1,3,1,0.0,3,0,3,0,0,1
0624065G,24949,32,135,124,135,34,6,32,7,11,3,58,0,0,0,0,0,32,30,32,0,23.0,13,3,6,5,2,19
0751708Z,18848,33,1524,905,1429,119,29,305,113,533,296,472,95,38,0,0,57,31,23,25,6,7.0,18,10,4,1,13,13
0750696Z,35028,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,11,0,0,0.0,24,13,3,11,10,0
0590065A,13553,15,144,13,126,9,1,22,8,27,10,68,18,0,5,7,6,10,1,8,2,2.0,6,2,0,1,5,4
1340045W,25818,35,598,365,598,549,6,0,0,0,0,49,0,0,0,0,0,35,30,35,0,7.0,35,0,35,0,0,0
0860703X,10600,75,799,53,711,398,50,158,29,9,1,146,88,32,7,1,48,53,2,41,12,24.0,40,6,33,7,0,13
0212250G,25968,28,797,107,776,576,64,63,15,0,0,137,21,10,1,0,10,15,2,15,0,11.0,13,1,12,1,0,2
0260019E,3614,34,282,176,282,9,5,89,37,118,68,66,0,0,0,0,0,33,22,32,0,3.0,26,16,0,13,13,7
0141418R,2901,24,403,219,398,105,13,125,28,79,21,89,5,0,0,3,2,24,13,22,2,4.0,13,5,4,3,6,11
0341543T,19416,48,764,548,764,150,35,124,31,6,2,484,0,0,0,0,0,48,35,48,0,27.0,18,7,17,1,0,30
9730371R,13527,18,268,153,243,35,20,45,28,70,51,93,25,0,0,16,9,16,10,16,0,9.0,15,11,5,6,4,1
0597065J,20949,500,5168,3096,5168,4201,649,67,28,17,7,883,0,0,0,0,0,497,316,497,0,218.0,485,66,481,3,1,12
0754030Y,16177,22,266,91,161,27,4,35,7,67,26,32,105,21,40,0,44,22,15,19,3,8.0,18,3,6,2,10,4
0761904G,26410,160,1330,1140,1330,752,150,143,35,30,12,405,0,0,0,0,0,160,137,160,0,39.0,112,20,108,3,1,48
0952260R,11637,130,421,149,254,148,27,28,4,5,2,73,167,40,12,5,110,110,37,53,57,23.0,54,15,41,11,2,56
0130040Y,2548,144,2497,1738,2497,1805,253,10,3,4,2,678,0,0,0,0,0,129,97,129,0,26.0,112,10,112,0,0,17
0640057P,7714,24,212,52,212,10,4,78,24,53,20,71,0,0,0,0,0,24,3,24,0,5.0,20,9,1,7,12,4
0572697X,23193,300,5211,4238,5211,1092,229,982,279,510,181,2627,0,0,0,0,0,304,258,303,0,21.0,179,56,55,78,46,125
0560180S,13698,35,332,160,329,88,15,121,14,56,14,64,3,0,0,1,2,35,17,34,1,6.0,25,4,7,14,4,10
0692523T,23165,149,8418,7168,8418,1389,315,1461,434,948,405,4620,0,0,0,0,0,149,126,149,0,3.0,75,21,40,21,14,74
0931272C,11264,12,248,19,248,8,4,63,20,106,61,71,0,0,0,0,0,10,0,10,0,2.0,10,6,2,4,4,0
0311323V,4130,24,367,275,322,278,49,1,0,0,0,43,45,21,1,1,22,28,18,24,4,0.0,24,2,24,0,0,4
0754318L,12041,30,89,48,68,41,2,4,1,4,1,19,21,8,1,1,11,20,10,19,1,12.0,11,1,9,1,1,9
0141275K,2866,18,174,103,164,24,6,21,3,68,22,51,10,0,3,4,3,16,9,13,3,4.0,13,3,1,0,12,3
0572757M,31330,48,445,246,439,382,35,1,0,0,0,56,6,5,0,0,1,35,21,34,1,4.0,33,0,33,0,0,2
0341956S,25181,50,1165,192,1135,864,115,85,22,0,0,186,30,6,0,0,24,36,5,34,2,19.0,30,5,28,2,0,6
0383546Y,5068,120,473,374,323,201,48,12,2,2,1,108,150,32,8,4,106,92,63,42,50,39.0,35,9,29,4,2,57
0332468D,4439,30,1884,1462,1884,470,100,616,176,98,37,700,0,0,0,0,0,28,25,26,0,2.0,24,6,9,12,3,4
0311323V,21690,15,1110,898,1110,494,84,283,64,74,24,259,0,0,0,0,0,15,12,15,0,0.0,14,2,12,2,0,1
0941301D,11518,30,847,491,847,20,5,246,111,300,153,281,0,0,0,0,0,30,19,30,0,0.0,26,15,1,12,13,4
0610698C,7307,24,98,61,88,9,2,23,8,19,10,37,10,0,1,3,6,12,8,8,4,7.0,8,3,0,4,4,4
0480022N,21712,16,199,136,199,58,9,48,6,41,13,52,0,0,0,0,0,14,11,14,0,6.0,10,3,6,2,2,4
0691774D,8345,570,6573,4547,6573,4033,626,245,62,11,4,2284,0,0,0,0,0,572,369,568,0,54.0,357,65,353,4,0,215
0940609B,11440,200,2217,178,2217,1102,275,589,185,24,8,502,0,0,0,0,0,195,17,195,0,115.0,172,48,79,93,0,23
9720843J,11848,24,151,42,148,38,12,64,26,35,20,11,3,0,1,0,2,22,9,22,0,6.0,22,7,10,12,0,0
0370037P,4833,24,913,584,901,73,13,313,100,275,138,240,12,0,0,11,1,29,18,26,3,6.0,28,17,1,14,13,1
0250010A,3460,35,212,113,212,0,0,185,46,0,0,27,0,0,0,0,0,27,18,27,0,18.0,27,5,0,27,0,0
0370800U,24047,40,219,166,199,122,28,14,7,6,3,57,20,7,0,1,12,40,31,31,9,9.0,20,7,18,1,1,20
0490073N,5848,45,414,97,413,85,10,151,28,111,26,66,1,0,0,0,1,44,8,43,0,13.0,41,2,14,20,7,3
0753488J,29612,10,64,49,39,21,5,5,3,0,0,13,25,6,3,1,15,9,8,4,5,0.0,4,3,3,1,0,5
0755976N,33538,100,9934,6919,9934,7612,1473,304,105,76,39,1942,0,0,0,0,0,94,77,94,0,2.0,91,18,91,0,0,3
0141408E,19192,40,317,174,261,146,31,25,5,15,9,75,56,6,5,1,44,38,17,20,18,3.0,19,4,10,6,3,19
0820021C,10318,30,543,481,512,29,4,161,49,176,79,146,31,0,14,0,17,30,28,26,3,1.0,28,11,2,9,17,2
0750677D,9041,48,1497,1442,1363,175,39,399,133,368,155,421,134,46,0,0,88,37,37,31,6,9.0,26,8,7,5,14,11
0940821G,11447,34,912,406,554,66,12,228,63,114,37,146,358,7,36,175,140,26,11,22,4,9.0,22,3,1,18,3,4
0261067U,3650,26,185,105,174,41,3,34,5,33,6,66,11,4,1,0,6,21,9,21,0,9.0,18,3,7,5,6,3
0750663N,8992,96,4449,1682,4449,3974,427,0,0,0,0,475,0,0,0,0,0,92,39,92,0,0.0,91,8,91,0,0,1
0753488J,9441,15,19,8,8,2,2,1,1,1,1,4,11,2,2,0,7,3,1,2,1,2.0,2,2,0,1,1,1
0130201Y,18398,25,329,221,329,181,30,3,1,4,4,141,0,0,0,0,0,27,15,27,0,13.0,23,4,23,0,0,4
0440246D,5505,15,84,61,84,3,1,1,0,60,28,20,0,0,0,0,0,12,8,12,0,4.0,10,5,1,0,9,2
0831187P,22232,12,124,5,115,22,1,21,6,43,12,29,9,0,6,0,3,12,0,11,1,5.0,7,3,0,0,7,5
0352305R,26305,245,1050,444,1027,807,38,85,7,2,0,133,23,6,4,1,12,271,134,262,9,260.0,236,14,206,29,1,35
0620042J,7346,33,889,459,889,131,32,153,53,64,25,541,0,0,0,0,0,29,15,29,0,7.0,20,5,7,11,2,9
9730336C,23443,12,151,141,119,26,13,31,19,26,20,36,32,3,5,4,20,9,7,7,2,0.0,3,1,2,0,1,6
0952260R,11628,40,400,331,227,171,41,21,7,4,1,31,173,84,21,2,66,23,21,22,1,11.0,23,1,23,0,0,0
0691775E,8397,165,1303,990,1214,884,221,91,40,28,13,211,89,16,11,9,53,178,126,135,43,14.0,129,45,96,21,12,49
0751719L,9246,23,506,351,506,306,35,11,5,28,8,161,0,0,0,0,0,23,15,23,0,2.0,17,7,14,0,3,6
0250010A,3464,35,678,442,678,70,18,195,69,211,88,202,0,0,0,0,0,32,22,32,0,3.0,26,7,3,6,17,6
0333298F,26335,12,455,173,416,342,35,2,1,2,2,70,39,18,1,0,20,11,5,7,4,1.0,6,3,6,0,0,5
7200664J,13889,100,413,351,377,161,39,75,21,23,9,118,36,4,4,4,24,97,86,77,16,17.0,61,19,23,24,14,36
