eno,dno,commune,statut,nom
0630109B,63   ,Clermont-Ferrand                                  ,Privé enseignement supérieur     ,ESC Clermont Business School                                                                                                                          
0530931Z,53   ,Saint-Berthevin                                   ,Privé sous contrat d'association  ,Institut d'Informatique Appliquée (IIA)                                                                                                              
0761356L,76   ,Rouen                                             ,Privé sous contrat d'association  ,Lycée Providence Sainte-Thérèse                                                                                                                    
0760095R,76   ,Rouen                                             ,Public                             ,Lycée Blaise Pascal                                                                                                                                  
0762687H,76   ,Rouen                                             ,Public                             ,Ecole Supérieure d'Art et Design Le Havre-Rouen (ESADHaR) site de Rouen                                                                              
0851689Z,85   ,La Roche-sur-Yon                                  ,Privé enseignement supérieur     ,AUDENCIA BUSINESS SCHOOL - LA ROCHE SUR YON                                                                                                           
0440029T,44   ,Nantes                                            ,Public                             ,LGT Livet                                                                                                                                             
0624440P,62   ,Noeux-les-Mines                                   ,Public                             ,LYCEE POLYVALENT D'ARTOIS                                                                                                                             
0170135E,17   ,Jonzac                                            ,Public                             ,Lycée Jean Hyppolite                                                                                                                                 
0631382K,63   ,Clermont-Ferrand                                  ,Public                             ,Unité de Formation et de Recherche de Médecine Université Clermont Auvergne                                                                        
9760461X,976  ,Mamoudzou                                         ,Public                             ,IFSI Mayotte                                                                                                                                          
0142182W,14   ,Epron                                             ,Privé sous contrat d'association  ,ESITC Caen                                                                                                                                            
0762380Z,76   ,Canteleu                                          ,Privé enseignement supérieur     ,IRTS-IDS                                                                                                                                              
0020060E,2    ,Crézancy                                         ,Public                             ,Lycée agricole et viticole de Crézancy                                                                                                              
0760030V,76   ,Elbeuf                                            ,Public                             ,Lycée Ferdinand Buisson                                                                                                                              
0280665W,28   ,Chartres                                          ,Privé sous contrat d'association  ,Lycée Notre Dame                                                                                                                                     
0130001F,13   ,Aix-en-Provence                                   ,Public                             ,Lycée Emile Zola                                                                                                                                     
0690574Z,69   ,Lyon 7e  Arrondissement                           ,Privé sous contrat d'association  ,Lycée Chevreul Lestonnac                                                                                                                             
0341544U,34   ,Castelnau-le-Lez                                  ,Privé enseignement supérieur     ,IFSI CRIP - Réservé aux personnes en situation de handicap                                                                                          
0693820C,69   ,Lyon 9e  Arrondissement                           ,Privé sous contrat d'association  ,ARFRIPS                                                                                                                                               
0541318P,54   ,Nancy                                             ,Privé sous contrat d'association  ,Lycée Notre Dame Saint Sigisbert                                                                                                                     
0753147N,75   ,Paris 10e  Arrondissement                         ,Privé enseignement supérieur     ,ICD International Business School - Campus de Paris                                                                                                   
0752845K,75   ,Paris  4e  Arrondissement                         ,Public                             ,Lycée professionnel Theophile Gautier                                                                                                                
9840391C,987  ,Papeete                                           ,Privé enseignement supérieur     ,Institut Supérieur de l'Enseignement Privé de Polynésie                                                                                            
0490018D,49   ,Cholet                                            ,Public                             ,Lycée polyvalent Europe Robert Schuman                                                                                                               
0330207W,33   ,Talence                                           ,Privé sous contrat d'association  ,I.R.T.S. NOUVELLE - AQUITAINE                                                                                                                         
0690104N,69   ,Vénissieux                                       ,Public                             ,Lycée Marcel Sembat                                                                                                                                  
0624141P,62   ,Calais                                            ,Public                             ,Lycée Léonard de Vinci                                                                                                                              
0470801R,47   ,Villeneuve-sur-Lot                                ,Public                             ,IFSI CH Villeneuve Sur Lot                                                                                                                            
0772551E,77   ,Marne-la-Vallée                                  ,Public                             ,Ecole Nationale Supérieure d'Architecture de la ville et des territoires à Marne-la-Vallée                                                         
0340030Y,34   ,Lunel                                             ,Public                             ,Lycée Louis Feuillade                                                                                                                                
0421020F,42   ,Saint-Etienne                                     ,Privé sous contrat d'association  ,Lycée La Salle                                                                                                                                       
0624490U,62   ,Saint-Omer                                        ,Privé sous contrat d'association  ,EESTS - ECOLE EUROPEENNE SUPERIEURE EN TRAVAIL SOCIAL DE ST OMER                                                                                      
0593584A,59   ,Lille                                             ,Public                             ,Faculté de médecine Henri Warembourg - Université de Lille                                                                                         
0171327A,17   ,Saintes                                           ,Public                             ,IFSI CH Saintonge                                                                                                                                     
0694280C,69   ,Lyon 7e  Arrondissement                           ,Privé sous contrat d'association  ,ESSCA School of Management - Lyon                                                                                                                     
0341521U,34   ,Montferrier-sur-Lez                               ,Privé sous contrat d'association  ,Lycée St Joseph Pierre Rouge                                                                                                                         
0910620E,91   ,Corbeil-Essonnes                                  ,Public                             ,Lycée Robert Doisneau                                                                                                                                
0560180S,56   ,Ploemeur                                          ,Privé sous contrat d'association  ,Lycée Notre Dame De La Paix                                                                                                                          
0690671E,69   ,Lyon 1er Arrondissement                           ,Privé sous contrat d'association  ,Lycée Jean-Baptiste De La Salle                                                                                                                      
0351599Y,35   ,Saint-Malo                                        ,Public                             ,IFSI CH Saint Malo                                                                                                                                    
0921986J,92   ,Clamart                                           ,Public                             ,IFSI Antoine Beclere (AP-HP)                                                                                                                          
9840001D,987  ,Uturoa                                            ,Public                             ,Lycée des Iles Sous Le Vent                                                                                                                          
0220013V,22   ,Dinan                                             ,Public                             ,Lycée De La Fontaine Des Eaux                                                                                                                        
0501735P,50   ,Granville                                         ,Privé sous contrat d'association  ,MFREO de Granville                                                                                                                                    
0860039A,86   ,Poitiers                                          ,Public                             ,Lycée professionnel Le Dolmen                                                                                                                        
0352446U,35   ,La Guerche-de-Bretagne                            ,Privé sous contrat d'association  ,Lycée professionnel Sainte Thérèse                                                                                                                 
0251018W,25   ,Besançon                                         ,Public                             ,I.U.T de Besançon                                                                                                                                    
0670084C,67   ,Strasbourg                                        ,Public                             ,Lycée Jean Rostand                                                                                                                                   
0781944P,78   ,Guyancourt                                        ,Public                             ,Université de Versailles - Saint Quentin en Yvelines                                                                                                 
0760165S,76   ,Saint-Etienne-du-Rouvray                          ,Public                             ,INSA Rouen Normandie                                                                                                                                  
0290076A,29   ,Quimperlé                                        ,Public                             ,Lycée de Kerneuzec                                                                                                                                   
0911264E,91   ,Bures-sur-Yvette                                  ,Privé sous contrat d'association  ,Institut et Centre d'Optométrie                                                                                                                      
0470029B,47   ,Nérac                                            ,Public                             ,Lycée professionnel Jacques De Romas                                                                                                                 
0801888T,80   ,Amiens                                            ,Privé sous contrat d'association  ,Lycée Saint Martin                                                                                                                                   
0081149F,8    ,Charleville-Mézières                            ,Public                             ,EiSINe - Charleville-Mézières                                                                                                                       
9720771F,972  ,Le François                                      ,Public                             ,Lycée La Jetee                                                                                                                                       
0730760E,73   ,Albertville                                       ,Privé sous contrat d'association  ,Lycée Jeanne D'Arc                                                                                                                                   
0620056Z,62   ,Bruay-la-Buissière                               ,Public                             ,Lycée Carnot                                                                                                                                         
0800009A,80   ,Amiens                                            ,Public                             ,Lycée Louis Thuillier                                                                                                                                
0210032W,21   ,Longchamp                                         ,Public                             ,Lycée polyvalent des métiers de la céramique Henry Moisand                                                                                         
0610995A,61   ,L'Aigle                                           ,Public                             ,IFSI CH l'Aigle                                                                                                                                       
0440033X,44   ,Nantes                                            ,Public                             ,Lycée professionnel François Arago                                                                                                                  
0682052L,68   ,Mulhouse                                          ,Public                             ,institut Interrégional de formation des métiers de la rééducation (IIFMR)                                                                         
0770933W,77   ,Melun                                             ,Public                             ,Lycée Jacques Amyot                                                                                                                                  
0370036N,37   ,Tours                                             ,Public                             ,Lycée Balzac                                                                                                                                         
0620027T,62   ,Avion                                             ,Public                             ,Lycée Pablo Picasso                                                                                                                                  
0690553B,69   ,Limas                                             ,Privé sous contrat d'association  ,Centre Scolaire Notre Dame                                                                                                                            
0261505V,26   ,Valence                                           ,Public                             ,LPO LYCEE DES METIERS ALGOUD - LAFFEMAS                                                                                                               
0310153Y,31   ,Toulouse                                          ,Public                             ,École nationale vétérinaire de Toulouse                                                                                                            
0624140N,62   ,Boulogne-sur-Mer                                  ,Public                             ,I.U.T LITTORAL (BOULOGNE/MER)                                                                                                                         
0942354Y,94   ,Joinville-le-Pont                                 ,Privé sous contrat d'association  ,LGT SAINTE MARIE                                                                                                                                      
0860034V,86   ,Poitiers                                          ,Public                             ,Lycée Victor-Hugo                                                                                                                                    
0301369A,30   ,Bagnols-sur-Cèze                                 ,Public                             ,IFSI CH Bagnols Sur Ceze                                                                                                                              
0480007X,48   ,Mende                                             ,Public                             ,Lycée Chaptal                                                                                                                                        
0760029U,76   ,Elbeuf                                            ,Public                             ,Lycée Andre Maurois                                                                                                                                  
0570309B,57   ,Le Ban-Saint-Martin                               ,Privé sous contrat d'association  ,INSTIT.REGIONAL TRAVAIL SOCIAL IRTS DE LORRAINE - Le Ban Saint Martin                                                                                 
0750669V,75   ,Paris  9e  Arrondissement                         ,Public                             ,Lycée Jules Ferry                                                                                                                                    
0840021S,84   ,L'Isle-sur-la-Sorgue                              ,Public                             ,Lycée Alphonse Benoit                                                                                                                                
0540038Y,54   ,Nancy                                             ,Public                             ,Lycée Henri Poincaré                                                                                                                                
0911251R,91   ,Evry-Courcouronnes                                ,Public                             ,Lycée du Parc des Loges                                                                                                                              
0541253U,54   ,Nancy                                             ,Privé sous contrat d'association  ,IRTS de Lorraine - Nancy                                                                                                                              
0160022M,16   ,Confolens                                         ,Public                             ,Lycée Emile Roux                                                                                                                                     
0101060Y,10   ,Troyes                                            ,Public                             ,UTT Université de Technologie de Troyes                                                                                                              
0950947N,95   ,Sarcelles                                         ,Public                             ,Lycée De La Tourelle                                                                                                                                 
3500067W,99   ,RABAT-SALE                                        ,Privé enseignement supérieur     ,ESSEC Campus de Rabat                                                                                                                                 
0251821U,25   ,Montbéliard                                      ,Public                             ,Université de Franche-Comté - Site de Montbéliard                                                                                                  
0870581J,87   ,Verneuil-sur-Vienne                               ,Public                             ,Lycée agricole de Limoges les Vaseix                                                                                                                 
1290007A,29   ,Brest                                             ,Public                             ,Pôle Kerichen-Vauban                                                                                                                                 
0721478R,72   ,Pruillé-le-Chétif                               ,Privé sous contrat d'association  ,Lycée Polyvalent privé Saint Joseph La Salle                                                                                                        
0442292C,44   ,Saint-Nazaire                                     ,Privé enseignement supérieur     ,CESI Campus de Saint Nazaire                                                                                                                          
0630022G,63   ,Clermont-Ferrand                                  ,Public                             ,Lycée professionnel Roger Claustres                                                                                                                  
0860986E,86   ,Poitiers                                          ,Public                             ,UNITE DE FORMATION ET DE RECHERCHE DE MEDECINE ET PHARMACIE UNIVERSITE DE POITIERS                                                                    
0542526C,54   ,Nancy                                             ,Public                             ,IFSI Lionnois                                                                                                                                         
0134386X,13   ,Aubagne                                           ,Public                             ,Aix-Marseille Université - Site d'Aubagne                                                                                                            
0352767T,35   ,Rennes                                            ,Privé enseignement supérieur     ,Institut National des Formations Notariales (INFN) - SITE DE RENNES                                                                                   
0672337B,67   ,Haguenau                                          ,Public                             ,IFSI Haguenau                                                                                                                                         
0673163Z,67   ,Strasbourg                                        ,Privé enseignement supérieur     ,Institut national de podologie Grand Est                                                                                                              
0352072M,35   ,Saint-Malo                                        ,Privé sous contrat d'association  ,Institution St Malo-Providence                                                                                                                        
0451638L,45   ,Orléans                                          ,Public                             ,Polytech Orléans                                                                                                                                     
0410899E,41   ,Blois                                             ,Public                             ,Lycée des Métiers HOTEL.ET TOURISME VAL DE LOIRE                                                                                                    
