fno,selectivite,filiere
21,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
7028,formation sélective                              ,Licence - Arts-lettres-langues                                                                                                                        
11524,formation sélective                              ,BTS - Services                                                                                                                                        
25056,formation sélective                              ,D.E secteur social                                                                                                                                    
6635,formation sélective                              ,BTS - Production                                                                                                                                      
3346,formation sélective                              ,DCG                                                                                                                                                   
23261,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
24062,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
25849,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
3057,formation sélective                              ,BUT - Service                                                                                                                                         
3073,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
17641,formation sélective                              ,Classe préparatoire économique et commerciale                                                                                                       
26396,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
10792,formation sélective                              ,BTS - Production                                                                                                                                      
15893,formation sélective                              ,BTS - Services                                                                                                                                        
11979,formation sélective                              ,BTS - Services                                                                                                                                        
31930,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
12951,formation sélective                              ,Licence - Droit-économie-gestion                                                                                                                     
7432,formation sélective                              ,BTS - Services                                                                                                                                        
3224,formation sélective                              ,BTS - Services                                                                                                                                        
21940,formation sélective                              ,DN MADE                                                                                                                                               
4667,formation sélective                              ,BTS - Agricole                                                                                                                                        
17291,formation sélective                              ,BTS - Production                                                                                                                                      
2261,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
3020,formation sélective                              ,BTS - Services                                                                                                                                        
24354,formation sélective                              ,DN MADE                                                                                                                                               
23194,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
26271,formation sélective                              ,Formation des écoles de commerce et de management                                                                                                    
23418,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
16185,formation sélective                              ,BTS - Production                                                                                                                                      
26338,formation sélective                              ,Licence - Sciences - technologies - santé                                                                                                            
10875,formation sélective                              ,BTS - Production                                                                                                                                      
24884,formation sélective                              ,D.E secteur social                                                                                                                                    
24815,formation sélective                              ,D.E secteur social                                                                                                                                    
21555,formation sélective                              ,DN MADE                                                                                                                                               
6212,formation sélective                              ,BTS - Services                                                                                                                                        
3670,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
34923,formation sélective                              ,Classe préparatoire aux études supérieures                                                                                                         
10661,formation sélective                              ,Classe préparatoire scientifique                                                                                                                     
9762,formation sélective                              ,BTS - Production                                                                                                                                      
14214,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
23156,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
9593,formation sélective                              ,Classe préparatoire littéraire                                                                                                                      
27459,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
13068,formation sélective                              ,BTS - Production                                                                                                                                      
6410,formation sélective                              ,BTS - Services                                                                                                                                        
24885,formation sélective                              ,D.E secteur social                                                                                                                                    
9932,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
21664,formation sélective                              ,DN MADE                                                                                                                                               
21700,formation sélective                              ,DN MADE                                                                                                                                               
10451,formation non sélective                          ,Licence - Droit-économie-gestion                                                                                                                     
9197,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
28456,formation sélective                              ,Licence - Arts-lettres-langues                                                                                                                        
5877,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
17636,formation sélective                              ,BTS - Production                                                                                                                                      
9665,formation sélective                              ,BTS - Services                                                                                                                                        
22514,formation sélective                              ,Mention complémentaire                                                                                                                               
9760,formation sélective                              ,BTS - Production                                                                                                                                      
5124,formation sélective                              ,BTS - Production                                                                                                                                      
8578,formation sélective                              ,BUT - Service                                                                                                                                         
5567,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
26929,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
25039,formation sélective                              ,DN MADE                                                                                                                                               
24054,formation sélective                              ,DN MADE                                                                                                                                               
7213,formation sélective                              ,BTS - Production                                                                                                                                      
2142,formation sélective                              ,BUT - Service                                                                                                                                         
7083,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
13700,formation sélective                              ,BTS - Services                                                                                                                                        
24475,formation sélective                              ,BTS - Maritime                                                                                                                                        
18584,formation sélective                              ,BTS - Services                                                                                                                                        
7436,formation sélective                              ,BUT - Production                                                                                                                                      
8007,formation sélective                              ,BTS - Production                                                                                                                                      
21279,formation sélective                              ,BPJEPS                                                                                                                                                
30996,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
14835,formation sélective                              ,BTS - Services                                                                                                                                        
20809,formation sélective                              ,BTS - Services                                                                                                                                        
27182,formation sélective                              ,BTS - Services                                                                                                                                        
15417,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
9912,formation non sélective                          ,Licence - Droit-économie-gestion                                                                                                                     
25406,formation sélective                              ,BTS - Services                                                                                                                                        
27286,formation sélective                              ,Diplôme d'Université                                                                                                                                
27418,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
23202,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
17833,formation sélective                              ,BTS - Services                                                                                                                                        
14846,formation sélective                              ,BTS - Services                                                                                                                                        
15859,formation sélective                              ,BTS - Agricole                                                                                                                                        
10909,formation sélective                              ,Année préparatoire                                                                                                                                  
28070,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
11951,formation sélective                              ,BTS - Services                                                                                                                                        
6724,formation sélective                              ,BTS - Services                                                                                                                                        
2418,formation sélective                              ,BTS - Production                                                                                                                                      
19249,formation sélective                              ,Licence - Droit-économie-gestion                                                                                                                     
16046,formation sélective                              ,BUT - Production                                                                                                                                      
2100,formation sélective                              ,BUT - Service                                                                                                                                         
5364,formation sélective                              ,BTS - Agricole                                                                                                                                        
4929,formation sélective                              ,BTS - Production                                                                                                                                      
27820,formation non sélective                          ,Licence - Droit-économie-gestion                                                                                                                     
7280,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
5276,formation sélective                              ,BTS - Production                                                                                                                                      
9612,formation sélective                              ,DCG                                                                                                                                                   
2140,formation sélective                              ,BUT - Production                                                                                                                                      
22907,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
19653,formation sélective                              ,Classe préparatoire littéraire                                                                                                                      
10363,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
3417,formation sélective                              ,BTS - Agricole                                                                                                                                        
9388,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
81,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
33802,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
27230,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
31273,formation sélective                              ,Classe préparatoire économique et commerciale                                                                                                       
2073,formation sélective                              ,DCG                                                                                                                                                   
6669,formation sélective                              ,BUT - Production                                                                                                                                      
16088,formation sélective                              ,BTS - Services                                                                                                                                        
30873,formation sélective                              ,Licence - Sciences - technologies - santé                                                                                                            
11815,formation sélective                              ,BTS - Production                                                                                                                                      
19422,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
10012,formation sélective                              ,BUT - Production                                                                                                                                      
14228,formation sélective                              ,BTS - Services                                                                                                                                        
11087,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
28440,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
8025,formation non sélective                          ,Licence - Arts-lettres-langues                                                                                                                        
25360,formation sélective                              ,Diplôme d'Université                                                                                                                                
3210,formation sélective                              ,BTS - Production                                                                                                                                      
20982,formation sélective                              ,C.M.I - Cursus Master en Ingénierie                                                                                                                  
10924,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
32570,formation sélective                              ,Sciences politiques                                                                                                                                   
30816,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
5690,formation sélective                              ,BTS - Services                                                                                                                                        
11600,formation sélective                              ,BTS - Services                                                                                                                                        
9804,formation sélective                              ,BTS - Production                                                                                                                                      
22887,formation sélective                              ,Formations  des écoles d'ingénieurs                                                                                                                 
11218,formation sélective                              ,Classe préparatoire littéraire                                                                                                                      
26972,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
32051,formation non sélective                          ,Licence - Sciences - technologies - santé                                                                                                            
11376,formation sélective                              ,BTS - Services                                                                                                                                        
2335,formation sélective                              ,BTS - Services                                                                                                                                        
2333,formation sélective                              ,BTS - Production                                                                                                                                      
7955,formation sélective                              ,BTS - Services                                                                                                                                        
23953,formation sélective                              ,D.E secteur sanitaire                                                                                                                                 
20374,formation sélective                              ,Classe préparatoire aux études supérieures                                                                                                         
5703,formation non sélective                          ,Licence - Droit-économie-gestion                                                                                                                     
7177,formation non sélective                          ,Licence - Droit-économie-gestion                                                                                                                     
2879,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
9310,formation non sélective                          ,Licence - Sciences humaines et sociales                                                                                                               
30065,formation sélective                              ,BTS - Services                                                                                                                                        
5299,formation sélective                              ,Classe préparatoire scientifique                                                                                                                     
11855,formation sélective                              ,BTS - Services                                                                                                                                        
